,AphiaID,url,scientificname,authority,status,unacceptreason,taxonRankID,rank,valid_AphiaID,valid_name,valid_authority,parentNameUsageID,kingdom,phylum,class,order,family,genus,citation,lsid,isMarine,isBrackish,isFreshwater,isTerrestrial,isExtinct,match_type,modified
173,105809,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105809,Apristurus microps,"(Gilchrist, 1922)",accepted,NA,220,Species,105809,Apristurus microps,"(Gilchrist, 1922)",105727,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Apristurus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Apristurus microps (Gilchrist, 1922). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105809 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105809,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
174,105811,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105811,Galeus atlanticus,"(Vaillant, 1888)",accepted,NA,220,Species,105811,Galeus atlanticus,"(Vaillant, 1888)",105728,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeus atlanticus (Vaillant, 1888). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105811 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105811,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
175,105812,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105812,Galeus melastomus,"Rafinesque, 1810",accepted,NA,220,Species,105812,Galeus melastomus,"Rafinesque, 1810",105728,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeus melastomus Rafinesque, 1810. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105812 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105812,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
176,105813,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105813,Galeus murinus,"(Collett, 1904)",accepted,NA,220,Species,105813,Galeus murinus,"(Collett, 1904)",105728,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Pentanchidae,Galeus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeus murinus (Collett, 1904). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105813 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105813,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
177,105814,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814,Scyliorhinus canicula,"(Linnaeus, 1758)",accepted,NA,220,Species,105814,Scyliorhinus canicula,"(Linnaeus, 1758)",105729,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Scyliorhinus canicula (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105814 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105814,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
178,105815,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105815,Scyliorhinus stellaris,"(Linnaeus, 1758)",accepted,NA,220,Species,105815,Scyliorhinus stellaris,"(Linnaeus, 1758)",105729,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Scyliorhinus stellaris (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105815 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105815,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
179,105820,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105820,Galeorhinus galeus,"(Linnaeus, 1758)",accepted,NA,220,Species,105820,Galeorhinus galeus,"(Linnaeus, 1758)",105731,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Galeorhinus galeus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105820 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105820,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
180,105821,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105821,Mustelus asterias,"Cloquet, 1819",accepted,NA,220,Species,105821,Mustelus asterias,"Cloquet, 1819",105732,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Mustelus asterias Cloquet, 1819. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105821 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105821,1,0,0,0,NA,exact,2013-01-08T10:48:02.203Z
181,105822,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105822,Mustelus mustelus,"(Linnaeus, 1758)",accepted,NA,220,Species,105822,Mustelus mustelus,"(Linnaeus, 1758)",105732,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Mustelus,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Mustelus mustelus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105822 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105822,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
182,105824,http://www.marinespecies.org/aphia.php?p=taxdetails&id=105824,Chimaera monstrosa,"Linnaeus, 1758",accepted,NA,220,Species,105824,Chimaera monstrosa,"Linnaeus, 1758",105733,Animalia,Chordata,Holocephali,Chimaeriformes,Chimaeridae,Chimaera,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Chimaera monstrosa Linnaeus, 1758. Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=105824 on 2020-03-25",urn:lsid:marinespecies.org:taxname:105824,1,0,0,0,NA,exact,2008-01-15T17:27:08.177Z
